Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,M,Engine,E,Engine_range,Power,Seats,Price
Hyundai Grand i10 AT Asta,Hyundai,Pune,2014,37632,Petrol,Automatic,First,18.9 kmpl,18.90,1197 CC,1197,1000-2000,82 bhp,5,4.5
Nissan Sunny 2011-2014 XV Special Edition,Nissan,Chennai,2013,55000,Petrol,Manual,Second,16.95 kmpl,16.95,1498 CC,1498,1000-2000,97.7 bhp,5,4.3
Maruti A-Star Lxi,Maruti,Hyderabad,2010,81448,Petrol,Manual,First,19.0 kmpl,19.00,998 CC,998,<1000,66.1 bhp,5,2.6
Renault KWID RXT Optional,Renault,Hyderabad,2018,1900,Petrol,Manual,First,25.17 kmpl,25.17,799 CC,799,<1000,53.3 bhp,5,4.45
Hyundai Verna 1.6 SX VTVT (O) AT,Hyundai,Coimbatore,2012,54957,Petrol,Automatic,First,17.1 kmpl,17.10,1591 CC,1591,1000-2000,121.4 bhp,5,5.37
Maruti Wagon R LXI Minor,Maruti,Chennai,2008,55000,Petrol,Manual,Second,18.9 kmpl,18.90,1061 CC,1061,1000-2000,67 bhp,5,1.75
BMW 3 Series 320d Sport Line,BMW,Kolkata,2013,21983,Diesel,Automatic,First,18.88 kmpl,18.88,1995 CC,1995,1000-2000,184 bhp,5,16.5
BMW 5 Series 2003-2012 520d,BMW,Delhi,2013,76000,Diesel,Automatic,First,18.48 kmpl,18.48,1995 CC,1995,1000-2000,177 bhp,5,19
Tata Indigo CS eVX,Tata,Jaipur,2016,65000,Diesel,Manual,First,25.0 kmpl,25.00,1396 CC,1396,1000-2000,69.01 bhp,5,2.8
Hyundai i20 Sportz 1.4 CRDi,Hyundai,Hyderabad,2015,26000,Diesel,Manual,First,22.54 kmpl,22.54,1396 CC,1396,1000-2000,88.73 bhp,5,6.2
Maruti Omni E MPI STD BS IV,Maruti,Kochi,2019,11571,Petrol,Manual,First,16.8 kmpl,16.80,796 CC,796,<1000,34.2 bhp,8,3.8
Maruti Swift ZDi,Maruti,Hyderabad,2014,81000,Diesel,Manual,First,25.2 kmpl,25.20,1248 CC,1248,1000-2000,74 bhp,5,6.1
Ford Ecosport Signature Edition Diesel,Ford,Coimbatore,2019,23154,Diesel,Manual,First,23.0 kmpl,23.00,1498 CC,1498,1000-2000,98.96 bhp,5,11.65
Honda Brio VX AT,Honda,Mumbai,2014,26856,Petrol,Automatic,First,16.5 kmpl,16.50,1198 CC,1198,1000-2000,86.8 bhp,5,4.15
Toyota Innova Crysta 2.4 GX MT,Toyota,Chennai,2017,67489,Diesel,Manual,First,13.68 kmpl,13.68,2393 CC,2393,2000-3000,147.8 bhp,7,16.5
Mahindra Scorpio 2.6 LX,Mahindra,Bangalore,2008,176000,Diesel,Manual,Second,10.5 kmpl,10.50,2179 CC,2179,2000-3000,120 bhp,8,4.3
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,18000,Petrol,Manual,First,18.5 kmpl,18.50,1197 CC,1197,1000-2000,80 bhp,5,2.25
Hyundai Verna 1.6 SX,Hyundai,Ahmedabad,2014,63003,Diesel,Manual,First,22.32 kmpl,22.32,1582 CC,1582,1000-2000,126.32 bhp,5,6.75
Mahindra XUV500 W6 2WD,Mahindra,Chennai,2014,80000,Diesel,Manual,First,15.1 kmpl,15.10,2179 CC,2179,2000-3000,140 bhp,7,9.4
Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,Coimbatore,2014,56658,Diesel,Manual,First,20.64 kmpl,20.64,1498 CC,1498,1000-2000,108.5 bhp,5,5.39
Maruti Swift Dzire VDI Optional,Maruti,Kochi,2019,18592,Diesel,Manual,First,26.59 kmpl,26.59,1248 CC,1248,1000-2000,74 bhp,5,8.51
Tata Manza Aura Safire BS IV,Tata,Pune,2010,75695,Petrol,Manual,First,13.7 kmpl,13.70,1368 CC,1368,1000-2000,88.8 bhp,5,1.85
Maruti Swift VDI,Maruti,Kolkata,2012,82000,Diesel,Manual,Second,22.9 kmpl,22.90,1248 CC,1248,1000-2000,74 bhp,5,2.5
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Chennai,2013,60000,Diesel,Manual,First,22.07 kmpl,22.07,1199 CC,1199,1000-2000,73.9 bhp,5,4.75
Honda City 1.5 V MT,Honda,Pune,2009,138000,Petrol,Manual,Second,17.0 kmpl,17.00,1497 CC,1497,1000-2000,118 bhp,5,3.5
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Hyundai,Bangalore,2014,67000,Diesel,Manual,First,23.0 kmpl,23.00,1396 CC,1396,1000-2000,90 bhp,5,5.5
Honda City 1.5 V MT,Honda,Coimbatore,2012,42750,Petrol,Manual,First,17.0 kmpl,17.00,1497 CC,1497,1000-2000,118 bhp,5,6.33
Chevrolet Beat Diesel,Chevrolet,Kochi,2014,52398,Diesel,Manual,First,25.44 kmpl,25.44,936 CC,936,<1000,57.6 bhp,5,2.47
Chevrolet Spark 1.0 LS,Chevrolet,Kochi,2014,36657,Petrol,Manual,First,16.2 kmpl,16.20,995 CC,995,<1000,62.1 bhp,5,3.3
Tata New Safari DICOR 2.2 EX 4x2,Tata,Delhi,2011,77000,Diesel,Manual,Second,11.57 kmpl,11.57,2179 CC,2179,2000-3000,138.1 bhp,7,3.5
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Mercedes-Benz,Delhi,2014,85000,Diesel,Automatic,First,11.3 kmpl,11.30,2987 CC,2987,2000-3000,254.8 bhp,7,38.75
BMW 5 Series 2003-2012 530d Highline,BMW,Pune,2008,112500,Diesel,Automatic,First,11.5 kmpl,11.50,2993 CC,2993,2000-3000,235 bhp,5,7.99
Toyota Fortuner 2.8 4WD MT,Toyota,Kochi,2013,105072,Diesel,Manual,First,14.24 kmpl,14.24,2755 CC,2755,2000-3000,174.5 bhp,7,13.28
BMW X1 sDrive 18i,BMW,Pune,2012,80000,Petrol,Automatic,First,11.25 kmpl,11.25,1995 CC,1995,1000-2000,150 bhp,5,9.5
Renault Captur 1.5 Diesel Platine Mono,Renault,Kochi,2019,3102,Diesel,Manual,First,20.37 kmpl,20.37,1461 CC,1461,1000-2000,108.45 bhp,5,14.01
Hyundai Xcent 1.1 CRDi S,Hyundai,Coimbatore,2016,14656,Diesel,Manual,First,24.4 kmpl,24.40,1120 CC,1120,1000-2000,71 bhp,5,6.99
BMW 3 Series 320d,BMW,Hyderabad,2010,105000,Diesel,Automatic,Second,13.2 kmpl,13.20,1995 CC,1995,1000-2000,170 bhp,5,11
BMW 5 Series 2010-2013 525i,BMW,Hyderabad,2008,61000,Petrol,Automatic,Second,10.8 kmpl,10.80,2497 CC,2497,2000-3000,215 bhp,5,11
Nissan Micra XE,Nissan,Pune,2010,85046,Petrol,Manual,Second,18.06 kmpl,18.06,1198 CC,1198,1000-2000,75 bhp,5,2.3
Jaguar XF 2.2 Litre Luxury,Jaguar,Delhi,2014,48000,Diesel,Automatic,First,16.36 kmpl,16.36,2179 CC,2179,2000-3000,187.7 bhp,5,26.5
Land Rover Range Rover TDV8 (Diesel),Land,Bangalore,2011,55000,Diesel,Automatic,First,10.2 kmpl,10.20,4367 CC,4367,4000-5000,308 bhp,7,67
Jeep Compass 1.4 Limited Option,Jeep,Mumbai,2017,4000,Petrol,Automatic,First,16.0 kmpl,16.00,1368 CC,1368,1000-2000,160 bhp,5,17.75
Honda CR-V 2.4 AT,Honda,Delhi,2010,94000,Petrol,Automatic,Second,10.1 kmpl,10.10,2354 CC,2354,2000-3000,152 bhp,5,4.8
Maruti Swift VXI,Maruti,Coimbatore,2013,61110,Petrol,Manual,First,18.6 kmpl,18.60,1197 CC,1197,1000-2000,85.8 bhp,5,4.57
Hyundai Xcent 1.1 CRDi S,Hyundai,Chennai,2016,80000,Diesel,Manual,First,24.4 kmpl,24.40,1120 CC,1120,1000-2000,71 bhp,5,3.5
Nissan Terrano XV Premium 110 PS,Nissan,Kochi,2015,43190,Diesel,Manual,First,19.01 kmpl,19.01,1461 CC,1461,1000-2000,108.5 bhp,5,7.61
Audi A4 35 TDI Technology,Audi,Hyderabad,2015,45000,Diesel,Automatic,First,18.25 kmpl,18.25,1968 CC,1968,1000-2000,187.74 bhp,5,25
Hyundai Grand i10 Asta Option,Hyundai,Coimbatore,2016,44178,Petrol,Manual,First,18.9 kmpl,18.90,1197 CC,1197,1000-2000,82 bhp,5,5.88
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,Hyderabad,2015,84415,Diesel,Manual,First,12.99 kmpl,12.99,2494 CC,2494,2000-3000,100.6 bhp,8,13.5
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2015,35000,Petrol,Manual,First,18.5 kmpl,18.50,1197 CC,1197,1000-2000,80 bhp,5,4.6
Ford EcoSport 1.5 TDCi Titanium,Ford,Kolkata,2013,44000,Diesel,Manual,First,22.77 kmpl,22.77,1498 CC,1498,1000-2000,98.59 bhp,5,4.9
Honda City 1.5 S MT,Honda,Hyderabad,2012,67635,Petrol,Manual,First,17.0 kmpl,17.00,1497 CC,1497,1000-2000,118 bhp,5,5.25
Ford EcoSport 1.5 Petrol Titanium Plus AT,Ford,Coimbatore,2018,18385,Petrol,Automatic,First,14.8 kmpl,14.80,1497 CC,1497,1000-2000,121.36 bhp,5,12.41
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2014,35000,Diesel,Manual,First,22.07 kmpl,22.07,1199 CC,1199,1000-2000,73.9 bhp,5,3.8
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,Mumbai,2010,49000,Diesel,Automatic,First,19.27 kmpl,19.27,2143 CC,2143,2000-3000,170 bhp,5,8.95
Ford Ecosport 1.5 DV5 MT Titanium,Ford,Hyderabad,2013,69000,Diesel,Manual,First,22.7 kmpl,22.70,1498 CC,1498,1000-2000,89.84 bhp,5,7.2
Tata Indigo GLE,Tata,Hyderabad,2017,23228,Petrol,Manual,First,14.4 kmpl,14.40,1396 CC,1396,1000-2000,65 bhp,5,4.5
Maruti Swift Dzire LDI,Maruti,Delhi,2014,68462,Diesel,Manual,First,26.59 kmpl,26.59,1248 CC,1248,1000-2000,74 bhp,5,4.15
Maruti S-Cross Zeta DDiS 200 SH,Maruti,Coimbatore,2016,74611,Diesel,Manual,First,25.1 kmpl,25.10,1248 CC,1248,1000-2000,88.5 bhp,5,7.94
Renault Duster 110PS Diesel RxZ Pack,Renault,Pune,2014,90000,Diesel,Manual,First,19.01 kmpl,19.01,1461 CC,1461,1000-2000,108.45 bhp,5,7.25
Maruti Wagon R VXI,Maruti,Delhi,2016,22000,Petrol,Manual,First,18.9 kmpl,18.90,998 CC,998,<1000,67.1 bhp,5,3.7
Hyundai Santro Xing GL,Hyundai,Hyderabad,2010,58163,Petrol,Manual,First,0.0 kmpl,0.00,1086 CC,1086,1000-2000,62 bhp,5,2.45
Chevrolet Beat Diesel LT,Chevrolet,Chennai,2011,109500,Diesel,Manual,Third,25.44 kmpl,25.44,936 CC,936,<1000,57.6 bhp,5,1.5
Mahindra XUV500 W4 1.99 mHawk,Mahindra,Delhi,2017,13363,Diesel,Manual,First,16.0 kmpl,16.00,1997 CC,1997,1000-2000,140 bhp,7,12
Hyundai i10 Era 1.1,Hyundai,Delhi,2012,51000,Petrol,Manual,Second,19.81 kmpl,19.81,1086 CC,1086,1000-2000,68.05 bhp,5,2.2
Tata New Safari DICOR 2.2 EX 4x4,Tata,Hyderabad,2007,103000,Diesel,Manual,First,13.93 kmpl,13.93,2179 CC,2179,2000-3000,138 bhp,7,3.6
Hyundai i10 Sportz,Hyundai,Kolkata,2009,43002,Petrol,Manual,First,20.36 kmpl,20.36,1197 CC,1197,1000-2000,78.9 bhp,5,1.92
Toyota Innova Crysta 2.8 ZX AT,Toyota,Bangalore,2016,108000,Diesel,Automatic,First,11.36 kmpl,11.36,2755 CC,2755,2000-3000,171.5 bhp,7,20.5
Skoda Laura Elegance MT,Skoda,Jaipur,2010,82407,Diesel,Manual,First,17.5 kmpl,17.50,1896 CC,1896,1000-2000,106 bhp,5,4.25
Hyundai Grand i10 Sportz,Hyundai,Kolkata,2013,29000,Petrol,Manual,First,18.9 kmpl,18.90,1197 CC,1197,1000-2000,82 bhp,5,3.2
Toyota Etios Liva GD,Toyota,Pune,2012,225000,Diesel,Manual,Second,23.59 kmpl,23.59,1364 CC,1364,1000-2000,null bhp,5,2.6
Maruti Swift Dzire VDI,Maruti,Kolkata,2014,45000,Diesel,Manual,First,23.4 kmpl,23.40,1248 CC,1248,1000-2000,74 bhp,5,3.85
Hyundai i20 Asta 1.4 CRDi (Diesel),Hyundai,Kochi,2010,93401,Diesel,Manual,First,23.0 kmpl,23.00,1396 CC,1396,1000-2000,90 bhp,5,3.48
Ford Figo 2015-2019 1.5D Trend MT,Ford,Hyderabad,2017,95802,Diesel,Manual,Second,25.83 kmpl,25.83,1498 CC,1498,1000-2000,99 bhp,5,4.55
Maruti Ertiga VDI,Maruti,Pune,2016,130000,Diesel,Manual,First,25.47 kmpl,25.47,1248 CC,1248,1000-2000,88.50 bhp,7,7
Maruti Ertiga ZDI,Maruti,Ahmedabad,2013,67443,Diesel,Manual,First,20.77 kmpl,20.77,1248 CC,1248,1000-2000,88.8 bhp,7,5.75
Honda City 1.5 V AT Sunroof,Honda,Kochi,2016,47681,Petrol,Automatic,First,16.8 kmpl,16.80,1497 CC,1497,1000-2000,116.3 bhp,5,8.73
Maruti Alto LXi BSIII,Maruti,Hyderabad,2009,35000,Petrol,Manual,First,19.7 kmpl,19.70,796 CC,796,<1000,46.3 bhp,5,1.7
Ford Endeavour 3.2 Titanium AT 4X4,Ford,Hyderabad,2016,68000,Diesel,Automatic,First,10.91 kmpl,10.91,3198 CC,3198,3000-4000,197 bhp,7,29.5
Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2019,34688,Diesel,Manual,First,24.3 kmpl,24.30,1248 CC,1248,1000-2000,88.5 bhp,5,10.49
Porsche Boxster S tiptronic,Porsche,Kolkata,2015,10512,Petrol,Automatic,First,8.6 kmpl,8.60,2706 CC,2706,2000-3000,265 bhp,2,64
Maruti Swift ZDi,Maruti,Pune,2016,58000,Diesel,Manual,First,22.9 kmpl,22.90,1248 CC,1248,1000-2000,74 bhp,5,7.55
Tata Zest Revotron 1.2 XT,Tata,Mumbai,2014,40000,Petrol,Manual,First,17.57 kmpl,17.57,1193 CC,1193,1000-2000,88.7 bhp,5,3.95
Hyundai i20 1.2 Sportz Option,Hyundai,Bangalore,2010,61000,Petrol,Manual,Fourth & Above,17.0 kmpl,17.00,1197 CC,1197,1000-2000,80 bhp,5,3.25
Skoda Fabia 1.4 TDI Active,Skoda,Mumbai,2009,86000,Diesel,Manual,First,19.4 kmpl,19.40,1422 CC,1422,1000-2000,70 bhp,5,2.75
Toyota Corolla Altis D-4D J,Toyota,Kolkata,2015,45000,Diesel,Manual,First,21.43 kmpl,21.43,1364 CC,1364,1000-2000,87.2 bhp,5,7.35
Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,Ahmedabad,2017,55000,Petrol,Manual,First,17.0 kmpl,17.00,1198 CC,1198,1000-2000,73.75 bhp,5,4.7
Hyundai Creta 1.6 VTVT S,Hyundai,Kochi,2016,36855,Petrol,Manual,Second,15.29 kmpl,15.29,1591 CC,1591,1000-2000,121.3 bhp,5,8.77
Hyundai i10 Magna 1.2,Hyundai,Kochi,2013,46821,Petrol,Manual,First,20.36 kmpl,20.36,1197 CC,1197,1000-2000,78.9 bhp,5,3.42
Chevrolet Beat LS,Chevrolet,Kolkata,2015,120000,Petrol,Manual,First,18.6 kmpl,18.60,1199 CC,1199,1000-2000,76.8 bhp,5,2.5
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Kolkata,2012,29000,Diesel,Automatic,First,14.74 kmpl,14.74,2993 CC,2993,2000-3000,270.9 bhp,5,20
Nissan Terrano XL,Nissan,Mumbai,2014,40000,Petrol,Manual,First,13.24 kmpl,13.24,1598 CC,1598,1000-2000,102.5 bhp,5,5.25
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Audi,Delhi,2013,60000,Diesel,Automatic,Second,15.73 kmpl,15.73,1968 CC,1968,1000-2000,174.33 bhp,5,14.5
Hyundai i10 Asta AT,Hyundai,Mumbai,2011,64984,Petrol,Automatic,First,16.95 kmpl,16.95,1197 CC,1197,1000-2000,78.9 bhp,5,3.45
Maruti Alto K10 VXI AGS,Maruti,Pune,2015,73204,Petrol,Automatic,First,24.07 kmpl,24.07,998 CC,998,<1000,67.1 bhp,5,3.3
Audi Q7 4.2 TDI Quattro Technology,Audi,Bangalore,2014,50000,Diesel,Automatic,First,11.33 kmpl,11.33,4134 CC,4134,4000-5000,335.2 bhp,7,51
Maruti Vitara Brezza VDi,Maruti,Kolkata,2017,35000,Diesel,Manual,First,24.3 kmpl,24.30,1248 CC,1248,1000-2000,88.5 bhp,5,6.5
Hyundai EON D Lite Plus,Hyundai,Hyderabad,2013,17729,Petrol,Manual,First,21.1 kmpl,21.10,814 CC,814,<1000,55.2 bhp,5,3.65
Mahindra XUV300 W8 Diesel,Mahindra,Chennai,2012,97000,Diesel,Manual,First,20.0 kmpl,20.00,1497 CC,1497,1000-2000,115 bhp,5,7.25
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kochi,2014,89614,Diesel,Manual,First,22.0 kmpl,22.00,1582 CC,1582,1000-2000,126.2 bhp,5,6.01
Maruti Wagon R VXI,Maruti,Kolkata,2015,14000,Petrol,Manual,First,18.9 kmpl,18.90,998 CC,998,<1000,67.1 bhp,5,2.8
Hyundai i20 Sportz Option,Hyundai,Chennai,2012,50000,Petrol,Manual,First,17.0 kmpl,17.00,1197 CC,1197,1000-2000,80 bhp,5,4
Honda City i VTEC V,Honda,Delhi,2014,62505,Petrol,Manual,First,17.4 kmpl,17.40,1497 CC,1497,1000-2000,117.3 bhp,5,5.95
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Chennai,2011,248000,Diesel,Manual,Second,12.8 kmpl,12.80,2494 CC,2494,2000-3000,102 bhp,7,9.2
Hyundai Verna CRDi SX,Hyundai,Pune,2012,94900,Diesel,Manual,First,16.8 kmpl,16.80,1493 CC,1493,1000-2000,110 bhp,5,5.35
Tata Hexa XT,Tata,Delhi,2017,55000,Diesel,Manual,First,17.6 kmpl,17.60,2179 CC,2179,2000-3000,153.86 bhp,7,12
Audi Q7 3.0 TDI Quattro Premium Plus,Audi,Coimbatore,2015,53735,Diesel,Automatic,Second,12.07 kmpl,12.07,2967 CC,2967,2000-3000,241.4 bhp,7,38.94
Maruti Wagon R VXI,Maruti,Coimbatore,2008,53934,Petrol,Manual,Second,18.9 kmpl,18.90,998 CC,998,<1000,67.1 bhp,5,2.69
BMW 5 Series 2013-2017 525d Luxury Line,BMW,Bangalore,2013,58500,Diesel,Automatic,Second,17.09 kmpl,17.09,1995 CC,1995,1000-2000,218 bhp,5,27.5
Honda Amaze EX i-Vtech,Honda,Kolkata,2014,48000,Petrol,Manual,First,18.0 kmpl,18.00,1198 CC,1198,1000-2000,86.7 bhp,5,2.75
Maruti Alto 800 2016-2019 LXI,Maruti,Mumbai,2016,24000,Petrol,Manual,First,24.7 kmpl,24.70,796 CC,796,<1000,47.3 bhp,5,2.8
Hyundai Verna 1.6 SX VTVT,Hyundai,Mumbai,2016,52001,Petrol,Manual,First,17.01 kmpl,17.01,1591 CC,1591,1000-2000,121.3 bhp,5,6.45
Tata Tiago 1.2 Revotron XZ,Tata,Coimbatore,2018,9565,Petrol,Manual,First,23.84 kmpl,23.84,1199 CC,1199,1000-2000,84 bhp,5,5.88
Maruti Swift LXI,Maruti,Pune,2013,32953,Petrol,Manual,First,18.6 kmpl,18.60,1197 CC,1197,1000-2000,85.8 bhp,5,4.65
Hyundai EON Era,Hyundai,Jaipur,2014,18000,Petrol,Manual,First,21.1 kmpl,21.10,814 CC,814,<1000,55.2 bhp,5,2.5
Mercedes-Benz E-Class E 220 d,Mercedes-Benz,Kochi,2018,20446,Petrol,Automatic,First,12.6 kmpl,12.60,1950 CC,1950,1000-2000,191.34 bhp,5,51.35
Hyundai i20 Magna 1.4 CRDi,Hyundai,Hyderabad,2016,33016,Diesel,Manual,First,22.54 kmpl,22.54,1396 CC,1396,1000-2000,88.73 bhp,5,6.85
Toyota Etios VD,Toyota,Chennai,2012,48000,Diesel,Manual,First,23.59 kmpl,23.59,1364 CC,1364,1000-2000,67.05 bhp,5,5.25
Toyota Corolla Altis Diesel D4DG,Toyota,Coimbatore,2014,72022,Diesel,Manual,First,21.43 kmpl,21.43,1364 CC,1364,1000-2000,87.2 bhp,5,9.23
Mini Cooper 5 DOOR D,Mini,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7 kmpl,20.70,1496 CC,1496,1000-2000,113.98 bhp,5,22
Volkswagen Polo 1.5 TDI Highline,Volkswagen,Hyderabad,2014,69000,Diesel,Manual,First,20.14 kmpl,20.14,1498 CC,1498,1000-2000,88.8 bhp,5,5.19
Skoda Superb Elegance 1.8 TSI AT,Skoda,Pune,2009,108000,Petrol,Automatic,First,13.7 kmpl,13.70,1798 CC,1798,1000-2000,157.75 bhp,5,4.35
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mercedes-Benz,Hyderabad,2013,34700,Diesel,Automatic,First,10.0 kmpl,10.00,2148 CC,2148,2000-3000,170 bhp,5,24.5
Maruti Swift VDi BSIII W/ ABS,Maruti,Pune,2015,79000,Diesel,Manual,First,17.8 kmpl,17.80,1248 CC,1248,1000-2000,75 bhp,5,5.75
Honda City i VTEC CVT VX,Honda,Kochi,2016,58197,Petrol,Automatic,First,18.0 kmpl,18.00,1497 CC,1497,1000-2000,117.3 bhp,5,9.19
BMW 7 Series 2007-2012 740Li,BMW,Pune,2008,66000,Petrol,Automatic,Second,8.45 kmpl,8.45,2979 CC,2979,2000-3000,321 bhp,5,10.75
Hyundai i10 Magna AT,Hyundai,Bangalore,2009,60000,Petrol,Automatic,First,19.2 kmpl,19.20,1197 CC,1197,1000-2000,80 bhp,5,2.99
Maruti Swift Dzire VDI,Maruti,Kolkata,2014,57000,Diesel,Manual,First,26.59 kmpl,26.59,1248 CC,1248,1000-2000,74 bhp,5,3.89
Honda City i DTec VX,Honda,Coimbatore,2018,45555,Diesel,Manual,First,26.0 kmpl,26.00,1498 CC,1498,1000-2000,98.6 bhp,5,11.73
Maruti Omni 8 Seater BSIV,Maruti,Coimbatore,2016,55137,Petrol,Manual,First,14.0 kmpl,14.00,796 CC,796,<1000,35 bhp,5,3.11
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Skoda,Jaipur,2014,93325,Diesel,Manual,Second,17.2 kmpl,17.20,1968 CC,1968,1000-2000,138.1 bhp,5,14.45
Maruti Ertiga SHVS VDI,Maruti,Ahmedabad,2018,38000,Diesel,Manual,First,24.52 kmpl,24.52,1248 CC,1248,1000-2000,88.5 bhp,7,8.7
Hyundai Grand i10 CRDi Magna,Hyundai,Kochi,2016,57738,Diesel,Manual,First,24.0 kmpl,24.00,1120 CC,1120,1000-2000,70 bhp,5,5.04
Maruti Ciaz VDi Plus SHVS,Maruti,Jaipur,2017,38282,Diesel,Manual,First,28.09 kmpl,28.09,1248 CC,1248,1000-2000,88.5 bhp,5,8.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,Delhi,2014,64000,Diesel,Automatic,First,19.27 kmpl,19.27,2143 CC,2143,2000-3000,170 bhp,5,15.65
Fiat Avventura MULTIJET Emotion,Fiat,Mumbai,2015,32000,Diesel,Manual,First,20.5 kmpl,20.50,1248 CC,1248,1000-2000,91.72 bhp,5,5.65
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Mercedes-Benz,Bangalore,2010,83000,Petrol,Automatic,First,10.93 kmpl,10.93,2497 CC,2497,2000-3000,204 bhp,5,16.5
Maruti Zen Estilo LXI Green (CNG),Maruti,Ahmedabad,2011,76000,CNG,Manual,First,26.3 km/kg,26.30,998 CC,998,<1000,67.1 bhp,5,2
Volkswagen Vento Petrol Highline,Volkswagen,Pune,2012,67200,Petrol,Manual,First,15.04 kmpl,15.04,1598 CC,1598,1000-2000,103.6 bhp,5,3.9
BMW 3 Series 320d Luxury Line,BMW,Jaipur,2013,62655,Diesel,Automatic,First,18.88 kmpl,18.88,1995 CC,1995,1000-2000,184 bhp,5,14.5
BMW 5 Series 2013-2017 530d M Sport,BMW,Bangalore,2015,16900,Diesel,Automatic,First,14.69 kmpl,14.69,2993 CC,2993,2000-3000,258 bhp,5,44
Hyundai Grand i10 1.2 Kappa Magna,Hyundai,Delhi,2017,8471,Petrol,Manual,First,18.9 kmpl,18.90,1197 CC,1197,1000-2000,81.86 bhp,5,5
Toyota Innova Crysta 2.8 ZX AT,Toyota,Hyderabad,2016,69000,Diesel,Automatic,First,11.36 kmpl,11.36,2755 CC,2755,2000-3000,171.5 bhp,7,19.75
Renault Duster 110PS Diesel RxZ AMT,Renault,Coimbatore,2017,30090,Diesel,Automatic,First,19.6 kmpl,19.60,1461 CC,1461,1000-2000,108.45 bhp,5,11.44
Tata Indica Vista Aura 1.3 Quadrajet,Tata,Chennai,2011,120000,Diesel,Manual,First,18.0 kmpl,18.00,1248 CC,1248,1000-2000,75 bhp,5,1.75
Maruti Swift VDI BSIV,Maruti,Bangalore,2013,23000,Diesel,Manual,First,17.8 kmpl,17.80,1248 CC,1248,1000-2000,null bhp,5,5.6
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Mercedes-Benz,Kochi,2016,35939,Petrol,Manual,First,12.3 kmpl,12.30,1796 CC,1796,1000-2000,185 bhp,5,30.42
Mahindra XUV500 W8 4WD,Mahindra,Coimbatore,2013,116694,Diesel,Manual,First,15.1 kmpl,15.10,2179 CC,2179,2000-3000,140 bhp,7,9.57
Mahindra Bolero ZLX,Mahindra,Mumbai,2016,40448,Diesel,Manual,First,15.96 kmpl,15.96,2523 CC,2523,2000-3000,62.1 bhp,7,3.5
Maruti Vitara Brezza ZDi,Maruti,Coimbatore,2018,64456,Diesel,Manual,First,24.3 kmpl,24.30,1248 CC,1248,1000-2000,88.5 bhp,5,10.46
Fiat Avventura MULTIJET Emotion,Fiat,Pune,2014,52782,Diesel,Manual,First,20.5 kmpl,20.50,1248 CC,1248,1000-2000,91.72 bhp,5,4.85
Honda Amaze S Petrol,Honda,Kochi,2016,51672,Petrol,Manual,First,19.5 kmpl,19.50,1199 CC,1199,1000-2000,88.76 bhp,5,5.68
Skoda Superb Elegance 1.8 TSI AT,Skoda,Mumbai,2015,56073,Petrol,Automatic,First,13.7 kmpl,13.70,1798 CC,1798,1000-2000,157.75 bhp,5,13.25
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Bangalore,2011,65000,Diesel,Automatic,First,14.74 kmpl,14.74,2993 CC,2993,2000-3000,270.9 bhp,5,16
Maruti Wagon R VXI BSIII,Maruti,Chennai,2013,79000,Petrol,Manual,First,18.9 kmpl,18.90,998 CC,998,<1000,67.1 bhp,5,3
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Kolkata,2007,43206,Petrol,Manual,First,17.0 kmpl,17.00,1086 CC,1086,1000-2000,null bhp,5,0.99
Toyota Corolla Altis VL,Toyota,Mumbai,2010,70200,Petrol,Automatic,First,14.53 kmpl,14.53,1798 CC,1798,1000-2000,138.1 bhp,5,5
Maruti Swift VXi BSIV,Maruti,Delhi,2016,42000,Petrol,Manual,First,16.1 kmpl,16.10,1197 CC,1197,1000-2000,85 bhp,5,4.75
Volkswagen Polo 1.2 MPI Highline,Volkswagen,Bangalore,2014,62000,Petrol,Manual,First,16.47 kmpl,16.47,1198 CC,1198,1000-2000,74 bhp,5,5.35
